,screen_name,created_at,full_text
57,zarahbae,2019-05-26 17:12:12,"#GOTFinale  #GoT #FollowerPower 

L uft  The Last Watch  eigentlich auch auf Prime?"
58,IronChero,2019-05-26 17:09:35,"Y...  ahora qu ?
#GOTFinale"
59,khaledChami1,2019-05-26 17:02:54,RT @melissawazen: HAHAHAHAHA #GOT #GOTFinale https://t.co/3HIoGrCFOB
60,xgeeks,2019-05-26 17:00:53,"""Peter Dinklage ended Season 8 on a high!""

  https://t.co/6EDNn0xNWf

#GameOfThrones #ForTheThrone #GOT #GoTS8 #GOT8 #GameofThronesSeason8 #GOTFinale #GameOfThronesFinale https://t.co/svRN2C3hiA"
61,TheManoakks07,2019-05-26 16:59:12,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago   
#GameofThrones #GameOfThronesFinale "
62,Domoandgeek,2019-05-26 16:56:07,Qui prendra la suite de #GOTFinale https://t.co/qyafFo4hXd
63,dlc917,2019-05-26 16:55:47,RT @KeepCalmBargain: Check out Funko Pop! TV: Game Of Thrones - #Cersei Lannister Vinyl Figure by Game of Thrones https://t.co/Uc0z0MAIVb R 
64,dlc917,2019-05-26 16:55:30,"RT @KeepCalmBargain: Check out #Sherlock Irene Adler Mini-Figur aus Funko Pop Vinyl 10cm by ABC https://t.co/U7EySxHwyP
RT &amp; Win a Free #PO "
65,dtneal,2019-05-26 16:55:24,"Along with everything else vexatious in the #GOTFinale, who the hell made the gigantic Targaryen banner?

Was Dany simply carting that monstrosity around all this time? 
    https://t.co/2uN55yTNeO"
66,dlc917,2019-05-26 16:55:23,"RT @KeepCalmBargain: RT &amp; Win a Free #POPVINYL From #FUNKO
Check out Funko Pop! TV: Game Of Thrones - #Tyrion Lannister Vinyl Figure https: "
67,grantb033,2019-05-26 16:55:12,"RT @JabberLab: On episode 028, we talk about @JohnWickMovie #Chapter3, the final episode of @GameOfThrones, the new @tylerthecreator album "
68,SethRol42284580,2019-05-26 16:52:44,"RT @UpUpDwnDwn: .@WWERollins, @TrueKofi, @WWECesaro, and @XavierWoodsPhD sat down together after #MITB to discuss the EPIC final episode of "
69,GreenFrogSina,2019-05-26 16:48:54,RT @Ivyzenati: When you don t contribute to the group project and still get an A #GameOfThrones #GOT #GOTFinale https://t.co/QpYK4IyesK
70,Jesusbt1,2019-05-26 16:48:32,"Aviso, es un spoiler #GOTFinale #elcuervode3Ojos #reidelos6Reinos https://t.co/iqSo4xg4oX"
71,Marien_Bad,2019-05-26 16:42:59,"Game of Thrones   finito, andate in pace. https://t.co/OrECLZJoCJ #GoT #GoTFinale #GameOfThrones #GameOfThronesFinale #GoTS8 #TronoDiSpade"
72,NotHisoka,2019-05-26 16:41:54,"RT @Morchelkind: Because he needs a crown 
#GOTFinale #GameOfThrones #BranStark https://t.co/d845pp4W91"
73,JaneG032,2019-05-26 16:37:43,"RT @WHALES_org: #GameOfThrones star Bronn, Master of Coin has a message for you!

No spoilers for #GOTFinale   

More about the #belugasanc "
74,hrc968,2019-05-26 16:35:20,Sigo pensando en el final de #GOTFinale . https://t.co/7CrZ8zScxi
75,Sarashooshtari1,2019-05-26 16:29:15,"RT @NuLL3rr0r: After watching that finale

#GOT
#GOTFinale
#GOT8
#GOTS8E6
#GOT8x06
#   _  _     
#    https://t.co/8jKNOrIFY7"
76,udaytendulkar,2019-05-26 16:29:09,"Game of Thrones: What to watch if you already miss the show - CNN
#got #hbo #GOTFinale https://t.co/Q8aHitrI72"
77,Middleton6378,2019-05-26 16:27:37,RT @Annamarie2426: What I really thought Brienne was going to write.. #GOTFinale #GOT https://t.co/OzZmjBDv1h
78,Yogendr36474902,2019-05-26 16:25:55,"RT @best_tracking: Life is beautiful
#travelblog  #travelphotography  #exploretheworld  #tourism  #travel #GameOfThronesFinale #SundayMorni "
79,quifeabuzi,2019-05-26 16:23:03,RT @LooniiLanister: Felt like I just watched a Spanish novella smh. #GOTFinale
80,Morchelkind,2019-05-26 16:22:54,"Because he needs a crown 
#GOTFinale #GameOfThrones #BranStark https://t.co/d845pp4W91"
81,geoffmarsh,2019-05-26 16:22:00,"RT @Black_Daria1: After all of these years of perfectly pronouncing names like Tyrion, Danerys, Missandei, Dothraki, Khaleesi, etc. people "
82,SenpoAmaterasu,2019-05-26 16:21:25,"RT @udotai_j: Jamie Lannister's kingslayer level is so high, he tried to kill the king 8 seasons ago   
#GameofThrones #GameOfThronesFinale "
83,bitcoinkang,2019-05-26 16:20:18,"RT @Bloodmoon_GOT: Best meme thred believe me 
#GameOfThronesFinale #GOTFinale #GameOfThrones https://t.co/2GmUYknkz2 https://t.co/sQCGZ1dJ "
84,Kat_Guayaca,2019-05-26 16:14:52,"Morooooons! I will not go to see the new #starwars trilogy because of him. 
#GameOfThrones #Got 
#GOTFinale is a shit!
@Frikidoctor @Acevedismos https://t.co/klUGkfHrx9"
