,screen_name,created_at,full_text
63,pipe_aguilera02,2019-05-26 19:37:56,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
64,Shumstaehjjk,2019-05-26 19:37:35,"Tyrion became Bran's Hand at least he won't end up alone. 
#GOT #GameOfThrones #GameOfThronesFinale"
65,aturcluton,2019-05-26 19:37:27,"RT @FarahBatchelor: Whatever happens in the next few hours....its been an overall emotional epic watch. 

#GameOfThronesFinale
#GameOfThron "
66,GodHatesGayShit,2019-05-26 19:36:38,RT @MissFenderr: The only respectable moment in that entire episode  #GameOfThronesFinale https://t.co/GDMR81XGlL
67,Jessica70229090,2019-05-26 19:36:34,RT @alicankaya99: Final sezonunu pi  etti iniz i in Breaking Bad &gt; Game of Thrones #GameOfThronesFinale
68,darkeyer2,2019-05-26 19:36:25,#Daenerys #GameOfThrones  #Gameofthronesfinale https://t.co/dh8OpT7ec6
69,nickf,2019-05-26 19:35:48,"RT @FoldableHuman: Say what you will about the #GameOfThronesFinale, the John Hughes homage was a bold choice to end on. https://t.co/kKJrJ "
70,G27la,2019-05-26 19:35:03,RT @WeDoNotKneel: What a downgrade. #gameofthrones #theironthrone #GameofThronesSeason8 #GameOfThronesFinale #JuegoDeTronos #jonsnow #daene 
71,oliviahoganx,2019-05-26 19:34:27,RT @GodspowerTalks: #GameOfThronesFinale this is single handedly the most bad-ass scene in game of thrones https://t.co/gtJ6d8JRK2
72,Jorggcc,2019-05-26 19:34:24,"RT @BasileiaSnow: Me encanta este v deo en el que se ve el guion de la que es para m , la mejor batalla que se ha hecho en Juego de Tronos "
73,GauravMohindra,2019-05-26 19:34:10,Game of Thrones series finale: the case for #Daenerys Targaryen #GameOfThronesFinale  https://t.co/ugTdLkftFV
74,AbelCA97,2019-05-26 19:33:40,"RT @NoeliaHerondale:   HILO: AN LISIS DEL FINAL DE GAME OF THRONES  

Supongo que sobra decirlo, pero como nunca viene mal avisar... 

   A "
75,marganelligi,2019-05-26 19:33:36,RT @RookieNishant: The best meme of GOT after the season finale. #GameOfThronesFinale #GameOfThrones https://t.co/qG0zWwpgRj
76,comvasixga,2019-05-26 19:33:27,RT @bexcorless: #gameofthrones you've been sensational #TheFinalEpisode #gameofthrones #gameofthronesfinale
77,Shumstaehjjk,2019-05-26 19:33:01,"Sansa spoke up for The North and I couldn't be happier.
#GOT #GameOfThrones #GameOfThronesFinale"
78,mikysilvi,2019-05-26 19:31:51,RT @ColliderVideo: We asked the #DarkPhoenix cast what they thought of the #GameofThronesFinale! https://t.co/pizcWSrS7V
