index,screen_name,created_at,text
2831,taralipinski,2018-02-17 15:49:28,The men brought it today! What a fun event to call. Congratulations to #YuzuruHanyu on defending  
2832,taralipinski,2018-02-18 01:10:26,RT @Davefox2: Oly TB 20yrs ago #Nagano1998 watching @taralipinski win gold in person was a #Nagano hilite. Her commentary on #NathanChen wi 
2833,taralipinski,2018-02-18 03:23:46,We have finally met. And then I glitterized her. Isn t she the best?!?! @lesdoggg @ Gangneung 
2834,taralipinski,2018-02-18 04:17:26,Our morning with @lesdoggg was everything you could ask for and more. Just wait for our next  
2835,taralipinski,2018-02-18 05:12:30,Crazy in Love with @Lesdoggg @beyonce    @NBCOlympics @Olympics @JohnnyGWeir 
2836,taralipinski,2018-02-18 13:29:00,Strutting into this week in my stilettos not even looking down. Maybe because @JohnnyGWeir always has my back...and  
2837,taralipinski,2018-02-18 13:51:12,"RT @HuffPost: We're crazy in love for Leslie Jones, Tara Lipinski and Johnny Weir's Beyonc  moves "
2838,taralipinski,2018-02-19 04:27:45,Virtue/Moir Holy amazing!!!! Their attack and command of the ice...beyond. They danced just like the Olympic Champi  
2839,taralipinski,2018-02-19 13:20:24,Another Olympic day in the books for us. Did you guys watch the dance!?! I can t wait for the showdown between the  
2840,taralipinski,2018-02-19 21:07:12,"RT @ericnamofficial: Well, That was fun! @taralipinski @JohnnyGWeir @nbc  #pyeongchang2018"
2841,taralipinski,2018-02-19 21:39:23,Evaluating NBC's Olympics Coverage at the Halfway Mark in PyeongChang 
2842,taralipinski,2018-02-20 00:32:54,"20 years ago today my life changed forever. Just in a few short days, another athlete will get  "
2843,taralipinski,2018-02-20 05:27:33,It s Time to Take Risks in the Rink Again 
2844,taralipinski,2018-02-20 12:45:11,Today. Tomorrow the ladies take the ice! Who s excited?  Sweater dress @majeofficiel 
2845,taralipinski,2018-02-21 00:55:21,Let s go Ladies!!!! Tune in!!!   dressthepopulation  #winterolympics @ Gangneung Ice Arena 
2846,taralipinski,2018-02-21 23:38:56,Thank you Scott! Go buy this inspiring and motivational book guys...it s more than a good read! @ScottHamilton84 
2847,taralipinski,2018-02-22 01:02:53,We are glad we helped the audience understand what happened. A shocking fall by Tennell but my bet is on an incredi  
2848,taralipinski,2018-02-22 01:06:43,See Johnny Weir's Hilarious Reaction to Tara Lipinski Surprising Him Before He's Camera-Ready  via @people
2849,taralipinski,2018-02-22 01:09:20,"Leslie Jones, Johnny Weir and Tara Lipinski made the Olympics' best music video | For The Win via @forthewin "
2850,taralipinski,2018-02-22 03:00:25,Big T&amp;J news coming your way! We still can t believe it!  12:30ET with @miketirico #winterolympics @nbcolympics 
2851,taralipinski,2018-02-22 04:33:51,"RT @thelilynews:  I would support a change from  ladies  to  women,   says @taralipinski. "
2852,taralipinski,2018-02-22 05:01:24,@rockerskating Sinks into that hip just perfectly!
2853,taralipinski,2018-02-22 05:58:44,WE ARE HOSTING THE CLOSING CEREMONY! What an honor and a privilege. I am so excited!  @JohnnyGWeir @terrygannon83  
